TIME,GERAL_JOGOS,GERAL_PG_COC,GERAL_CHUTES_COC,GERAL_BASICA_COC,GERAL_PG_CDF,GERAL_CHUTES_CDF,GERAL_BASICA_CDF,CASA_JOGOS,CASA_PG_COC,CASA_CHUTES_COC,CASA_BASICA_COC,CASA_PG_CDF,CASA_CHUTES_CDF,CASA_BASICA_CDF,FORA_JOGOS,FORA_PG_COC,FORA_CHUTES_COC,FORA_BASICA_COC,FORA_PG_CDF,FORA_CHUTES_CDF,FORA_BASICA_CDF
BAHIA,5,0.0,3.0,2.37,0.4,2.4,1.51,5,0.2,2.8,2.59,0.4,1.4,1.71,5,0.2,3.8,3.11,0.4,3.0,1.77
CORINTHIANS,5,0.4,1.6,1.89,0.6,2.0,1.38,5,1.0,1.4,1.97,0.4,0.8,1.05,5,0.4,1.0,1.41,1.2,3.8,2.45
CRUZEIRO,5,0.0,3.8,1.29,0.8,2.6,1.39,5,0.6,3.0,1.78,0.4,2.8,2.2,5,0.2,3.0,1.55,0.8,5.0,2.13
MIRASSOL,5,0.4,2.6,2.52,0.8,3.6,2.24,5,0.6,2.2,1.91,0.4,3.2,1.5,5,0.2,2.4,2.77,1.2,3.6,2.49
FLAMENGO,5,1.6,3.6,2.33,1.0,1.8,1.9,5,2.0,4.2,3.0,0.4,2.4,1.83,5,0.6,3.2,2.3,0.6,1.2,1.94
INTERNACIONAL,5,0.6,2.6,1.66,0.6,1.6,1.73,5,0.6,2.6,1.9,0.2,2.2,1.48,5,0.4,1.6,1.99,0.4,2.0,2.17
FLUMINENSE,5,1.2,2.0,1.34,0.2,3.6,2.44,5,1.2,2.0,1.45,0.2,3.2,2.51,5,0.2,1.8,1.08,0.4,3.4,2.27
FORTALEZA,5,1.0,1.6,2.32,0.2,3.2,1.58,5,0.6,3.2,2.0,0.2,2.4,1.64,5,0.4,1.0,1.88,0.4,3.8,2.01
ATLÉTICO-MG,5,0.8,2.4,2.36,0.4,1.6,2.46,5,0.8,4.0,2.62,0.2,3.0,2.81,5,0.4,1.2,1.52,0.8,2.6,2.35
GRÊMIO,5,0.4,4.0,1.8,0.6,3.6,1.58,5,0.4,3.8,2.49,0.0,2.6,1.4,5,0.0,2.4,1.16,1.2,4.0,2.3
JUVENTUDE,5,0.8,2.8,2.38,0.2,2.2,2.09,5,0.6,3.2,1.76,0.4,2.6,1.57,5,0.4,2.8,2.5,0.2,1.4,2.5
VITÓRIA,5,0.4,1.4,2.22,0.2,3.6,1.63,5,0.4,1.4,1.9,0.4,3.0,1.96,5,0.4,1.6,1.91,0.4,4.6,1.78
BOTAFOGO,5,1.2,4.4,1.9,0.8,1.6,1.32,5,0.8,4.8,2.06,1.0,1.4,1.54,5,0.6,2.0,1.44,0.6,2.4,1.7
PALMEIRAS,5,0.2,4.6,2.05,0.6,3.6,2.02,5,1.0,6.2,2.64,0.2,2.6,1.53,5,0.4,3.2,1.78,1.2,4.0,2.57
CEARÁ,5,0.4,1.4,1.58,0.4,2.4,1.84,5,0.6,3.2,1.54,0.4,2.0,1.64,5,0.0,4.0,2.46,0.6,1.8,1.84
RED BULL BRAGANTINO,5,0.6,3.4,2.27,1.0,2.2,2.21,5,0.6,4.2,2.16,0.2,1.0,1.3,5,0.6,1.4,1.61,1.8,3.0,2.17
SPORT,5,0.6,1.4,1.51,1.6,4.8,2.8,5,0.4,1.2,1.6,0.8,2.4,2.71,5,0.4,3.4,1.76,1.4,4.8,2.37
SÃO PAULO,5,0.2,1.6,1.75,1.0,2.8,2.57,5,0.6,1.8,1.93,1.0,3.6,3.03,5,0.4,2.4,1.26,0.6,2.6,2.05
SANTOS,5,1.6,6.4,2.42,0.6,3.4,1.79,5,1.2,7.4,2.75,0.2,2.0,1.43,5,0.8,3.8,2.19,1.2,5.0,1.84
VASCO,5,0.2,1.2,1.11,1.0,3.6,2.52,5,0.2,2.4,2.67,1.0,1.4,1.65,5,0.2,0.4,0.49,0.4,4.0,2.33
